名前,かな,緯度,経度,標高
遠島山,とおしまやま,40.02055555555555,141.64416666666665,1262
三巣子岳,みすごだけ,39.9,141.48555555555555,1181
姫神山,ひめかみさん,39.844166666666666,141.24694444444444,1124
堺ノ神岳,さかいのかみだけ,39.750277777777775,141.6263888888889,1319
害鷹森,がいたかもり,39.711666666666666,141.60444444444443,1304
青松葉山,あおまつばやま,39.6975,141.4836111111111,1365
峠ノ神山,とうげのかみやま,39.72694444444445,141.78111111111113,1229
早池峰山,はやちねさん,39.558611111111105,141.4886111111111,1917
薬師岳,やくしだけ,39.53,141.4958333333333,1645
十二神山,じゅうにしんざん,39.53861111111111,141.975,731
六角牛山,ろっこうしさん,39.318333333333335,141.65027777777777,1293
五葉山,ごようざん,39.20527777777778,141.73222222222222,1351
物見山,ものみやま,39.20111111111111,141.40166666666667,870
氷上山,ひかみさん,39.05888888888889,141.66055555555556,874
室根山,むろねさん,38.97527777777778,141.44722222222222,895
徳仙丈山,とくせんじょうやま,38.848333333333336,141.47,710
金華山,きんかさん,38.29527777777778,141.56666666666666,444
八甲田山<大岳>,はっこうださん<おおだけ>,40.65888888888889,140.87722222222223,1585
八甲田山<高田大岳>,はっこうださん<たかだおおだけ>,40.653067,140.907211,1559
櫛ヶ峯,くしがみね,40.60305555555556,140.8425,1517
戸来岳<三ッ岳>,へらいだけ<みつだけ>,40.45305555555556,141.0013888888889,1159
白地山,しろじやま,40.447222222222216,140.78805555555556,1034
中岳,なかだけ,40.24611111111111,140.94444444444446,1024
稲庭岳,いなにわだけ,40.198611111111106,141.04611111111112,1078
五ノ宮嶽,ごのみやだけ,40.145833333333336,140.84583333333333,1115
七時雨山,ななしぐれやま,40.06916666666667,141.10555555555555,1063
森吉山,もりよしざん,39.97666666666667,140.54416666666665,1454
焼山,やけやま,39.96388888888889,140.75694444444446,1366
八幡平,はちまんたい,39.95777777777778,140.85416666666666,1613
八幡平<茶臼岳>,はちまんたい<ちゃうすだけ>,39.950833333333335,140.89888888888888,1578
八幡平<畚岳>,はちまんたい<もっこだけ>,39.93583333333333,140.85055555555556,1578
大深岳,おおふかだけ,39.88111111111111,140.87972222222223,1541
岩手山,いわてさん,39.8525,141.0011111111111,2038
烏帽子岳,えぼしだけ,39.805,140.83861111111113,1478
駒ヶ岳<男女岳>,こまがたけ<おなめだけ>,39.76111111111111,140.79944444444445,1637
岩木山,いわきさん,40.655833333333334,140.30305555555557,1625
向白神岳,むかいしらかみだけ,40.52388888888889,140.04555555555555,1250
白神岳,しらかみだけ,40.5075,140.01833333333335,1235
二ッ森,ふたつもり,40.434999999999995,140.11777777777777,1086
駒ヶ岳,こまがたけ,40.41277777777778,140.2511111111111,1158
田代岳,たしろだけ,40.42861111111111,140.4088888888889,1178
房住山,ぼうじゅうさん,40.06055555555555,140.2161111111111,409
太平山,たいへいざん,39.79694444444444,140.31055555555557,1170
大仏岳,だいぶつだけ,39.81361111111111,140.51555555555555,1167
東光山,とうこうさん,39.406388888888884,140.16166666666666,594
八塩山,やしおやま,39.236666666666665,140.2277777777778,713
鳥海山<新山>,ちょうかいざん<しんざん>,39.09916666666667,140.04888888888888,2236
丁岳,ひのとだけ,39.03194444444444,140.21944444444443,1146
甑山<男甑山>,こしきやま<おとここしきやま>,39.011944444444445,140.31055555555557,981
加無山,かぶやま,39.00944444444445,140.2602777777778,997
寒風山,かんぷうざん,39.933611111111105,139.8752777777778,355
本山,ほんざん,39.90694444444444,139.7538888888889,715
東根山,あずまねやま,39.587500000000006,141.05972222222223,928
和賀岳,わがだけ,39.57027777777778,140.75416666666666,1439
真昼岳,まひるだけ,39.44777777777777,140.67666666666665,1059
黒森,くろもり,39.348333333333336,140.86833333333334,944
焼石岳,やけいしだけ,39.16361111111111,140.82888888888888,1547
栗駒山,くりこまやま,38.96083333333333,140.78833333333333,1626
高松岳,たかまつだけ,38.9675,140.6063888888889,1348
虎毛山,とらげさん,38.90472222222222,140.6188888888889,1433
荒雄岳,あらおだけ,38.83305555555556,140.69166666666666,984
神室山,かむろさん,38.90222222222222,140.4922222222222,1365
火打岳,ひうちだけ,38.84027777777778,140.44861111111112,1238
